Control Level,Age,Gender,Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6
1,20,1,0.5,0.8,1,0.7,0.3,0.2
2,20,1,0.5,0.8,1,0.7,0.3,0.2
3,20,1,0.4,0.8,1,0.7,0.2,0.2
4,20,1,0.4,0.8,1,0.6,0.2,0.2
5,20,1,0.4,0.8,0.8,0.6,0.2,0.1
6,20,1,0.3,0.8,0.8,0.6,0.2,0.1
7,20,1,0.3,0.9,0.8,0.6,0.2,0.1
8,20,1,0.3,0.9,0.8,0.6,0.2,0.1
9,20,1,0.3,0.9,0.8,0.6,0.1,0.1
10,20,1,0.3,0.9,0.8,0.6,0.1,0.1
11,20,1,0.2,1,0.8,0.5,0.1,0
12,20,1,0.2,1,0.8,0.5,0.1,0
13,20,1,0.2,1,0.8,0.5,0.1,0
14,20,1,0.2,1,0.8,0.5,0.1,0
15,20,1,0.1,1,0.8,0.5,0.1,0
16,20,1,0.1,0.7,0.9,0.3,0,0
17,20,1,0.1,0.7,0.9,0.3,0,0
18,20,1,0.1,0.7,0.9,0.3,0,0
19,20,1,0.1,0.7,0.9,0.3,0,0
20,20,1,0.1,0.7,0.9,0.3,0,0
1,50,1,1,0.3,0.5,0.4,0.4,1
3,50,1,1,0.3,0.5,0.3,0.4,1
5,50,1,0.6,0.7,0.3,0.3,0.4,1
7,50,1,0.6,0.7,0.3,0.2,0.4,1
9,50,1,0.6,1,0.2,0.2,0.1,0.5
11,50,1,0.6,1,0.1,0.1,0.1,0.5
13,50,1,0.5,1,0,0,0,0.5
15,50,1,0,1,0,0,0,0.5
17,50,1,0.5,0.7,0.4,0.3,0.2,1
19,50,1,0.5,0.5,0.3,0.2,0.2,1
2,50,1,1,0.3,0.5,0.4,0.4,1
4,50,1,1,0.3,0.5,0.3,0.4,1
6,50,1,0.6,0.7,0.3,0.3,0.4,1
8,50,1,0.6,0.7,0.3,0.2,0.4,1
10,50,1,0.6,1,0.2,0.2,0.1,0.5
12,50,1,0.6,1,0.1,0.1,0.1,0.5
14,50,1,0.5,1,0,0,0,0.5
16,50,1,0,1,0,0,0,0.5
18,50,1,0.5,0.7,0.4,0.3,0.2,1
20,50,1,0.5,0.5,0.3,0.2,0.2,1